"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/9d7c24f5-dd7d-4947-aa65-9294822efe04-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9501","gus_skywalker","5916615","50565","987","112","41518","1492","142286","true","false","Portuguese","gus_skywalker"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6e3b7340-e784-423b-aa97-33063b819843-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9502","feel_stefan","6791280","3810","11604","1790","41510","38726","116129","false","false","German","feel_stefan"
"https://static-cdn.jtvnw.net/jtv_user_pictures/10db0b24-6d55-4072-9593-09782505523a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9503","JDGamesTwitch","104310","6045","85","16","41510","7873","21617","false","false","English","JDGamesTwitch"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f563e000-f7ae-4a75-9774-0c4011c64f48-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9504","DaveGaming73","37046565","77010","7882","438","41499","29406","841960","true","false","German","DaveGaming73"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5d9ee9c0-dc51-4b26-89a0-a578d1c5c6fc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9505","4Conner","26642130","79275","6425","255","41499","39976","790865","true","true","English","4Conner"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0d11ddad-1c73-4182-a7ec-5775c412e9da-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9506","LEESOO","5049630","21000","1059","234","41496","27486","170785","true","false","Polish","LEESOO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a21fc9e9-626f-4682-bf9a-c50aea5ad7ba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9507","Plastiq","258975","94350","67","2","41492","40289","7021","false","false","English","Plastiq"
"https://static-cdn.jtvnw.net/jtv_user_pictures/99fa0ca9-f79b-47f5-837d-89bee0013393-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9508","MrFerruzca","23598030","135915","5525","169","41489","33274","486295","true","false","Spanish","MrFerruzca"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f29353c7-90d1-4939-8c14-879e4aae14e7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9509","Nicetya","6510825","26190","1058","256","41486","25653","340924","true","true","German","Nicetya"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5a74bbdc-4a83-43ad-980f-91a56f513021-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9510","ROGTournament","18158760","2070","18817","8956","41485","7461","170200","true","false","English","ROGTournament"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2a9e7b92-27e2-4b1d-8e4d-7ada049523cd-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","9511","michollocom","35040","2355","82","12","41483","-541","5612","false","false","Spanish","michollocom"
"https://static-cdn.jtvnw.net/jtv_user_pictures/64058f2f-eee0-4459-9c3a-acc6966d4501-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9512","Queen_Jelz","7890","210","49","37","41483","-50","571","true","false","English","Queen_Jelz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f86efdd4-b42d-4116-8d1f-2657b3d98911-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9513","Xmithie","82005","630","348","116","41480","-109","4187","true","false","English","Xmithie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d87c3445-b717-4d97-b0fd-82cd1d578fa4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9514","Angeschrien","2879985","9585","819","315","41471","41264","124583","false","false","German","Angeschrien"
"https://static-cdn.jtvnw.net/jtv_user_pictures/weegeethegod-profile_image-266e848f8cf0bf3b-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9515","WEEGEETHEGOD","4083600","8955","1505","434","41470","8346","69823","true","false","English","WEEGEETHEGOD"
"https://static-cdn.jtvnw.net/jtv_user_pictures/02cead90-7a64-42b7-b3d3-c27d643b6d74-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9516","꽃감이 (flowergam0326)","8814495","39840","1655","229","41467","40434","537176","true","false","Korean","꽃감이 (flowergam0326)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/westrice-profile_image-03cd65fa65cffe8d-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9517","Westrice","545070","10005","598","44","41459","-562","16466","true","false","English","Westrice"
"https://static-cdn.jtvnw.net/jtv_user_pictures/lunadangelis-profile_image-3b3ecb1761bbf27d-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9518","LunaDangelis","2511825","15240","645","161","41459","24111","91952","true","false","Spanish","LunaDangelis"
"https://static-cdn.jtvnw.net/jtv_user_pictures/123eabee06a3ea4d-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9519","Lanvirion","37720815","160710","2378","223","41453","644","1551815","true","true","Russian","Lanvirion"
"https://static-cdn.jtvnw.net/jtv_user_pictures/41aaf3dc-3e28-42c2-b6ac-1641c849a001-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9520","Amparemoe","641520","9015","1488","103","41449","5332","188157","true","true","Thai","Amparemoe"
"https://static-cdn.jtvnw.net/jtv_user_pictures/af32a5b4-538a-430a-a197-e36af407380f-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9521","PowerbangGaming","770040","5115","363","161","41442","3145","12790","true","false","English","PowerbangGaming"
